Date,OpenNestleind,HighNestleind,LowNestleind,CloseNestleind,VolumeNestleind
02-04-2018 06:45,8264.8,8314.7,8262.25,8311.35,9395
02-04-2018 07:45,8316.95,8320.35,8285.05,8302.05,15161
02-04-2018 08:45,8304.8,8326.2,8299.15,8303.9,9052
02-04-2018 09:45,8303.05,8319.15,8292.05,8308.95,6744
03-04-2018 03:45,8290,8359,8290,8359,15566
03-04-2018 04:45,8357.85,8379.8,8320,8320,6845
03-04-2018 05:45,8326.95,8327.9,8292.75,8313.5,5506
03-04-2018 06:45,8313.1,8338.6,8310.05,8337.35,2963
03-04-2018 07:45,8337.05,8347.85,8317.95,8317.95,6576
03-04-2018 08:45,8320,8344.1,8315,8343.8,16523
03-04-2018 09:45,8347.75,8351,8343.95,8343.95,6555
04-04-2018 03:45,8329.95,8390,8329.95,8364.8,11762
04-04-2018 04:45,8364.8,8383.95,8360.05,8380,6322
04-04-2018 05:45,8388,8389.95,8349.15,8366.55,6878
04-04-2018 06:45,8371.9,8394.95,8362.35,8390.4,9249
04-04-2018 07:45,8385.45,8385.7,8332,8350,12447
04-04-2018 08:45,8346.75,8371.6,8344.05,8366.8,8585
04-04-2018 09:45,8362.95,8362.95,8312,8351.05,11632
05-04-2018 03:45,8378.4,8408,8375.7,8381.6,8248
05-04-2018 04:45,8382.15,8397.15,8377.8,8380,4370
05-04-2018 05:45,8377.15,8380,8361.65,8370,5826
05-04-2018 06:45,8370,8397,8369.6,8395,5135
05-04-2018 07:45,8395,8395,8379.25,8380,1885
05-04-2018 08:45,8375,8385,8374,8383.75,6471
05-04-2018 09:45,8384.15,8385,8384.15,8384.95,4575
06-04-2018 03:45,8371,8400,8370,8371.05,7148
06-04-2018 04:45,8371.05,8381,8350,8351.8,2889
06-04-2018 05:45,8351.45,8360,8331.25,8340,2137
06-04-2018 06:45,8340,8350,8330,8330,1958
06-04-2018 07:45,8337.95,8337.95,8315,8335,7289
06-04-2018 08:45,8335,8359.75,8321,8346.95,11234
06-04-2018 09:45,8342.85,8349.3,8333.2,8346.95,5849
09-04-2018 03:45,8366.75,8385,8347.95,8383,9453
09-04-2018 04:45,8384.6,8385,8372.9,8382,9600
09-04-2018 05:45,8385,8385,8372.45,8385,4361
09-04-2018 06:45,8383.65,8385,8378.45,8380,6072
09-04-2018 07:45,8380,8385,8370.85,8378.35,7180
09-04-2018 08:45,8379,8385,8374.1,8384.95,9399
09-04-2018 09:45,8385,8385,8343.7,8382.25,7951
10-04-2018 03:45,8389.9,8400,8382.15,8395,4829
10-04-2018 04:45,8396.8,8396.8,8380,8389.9,1701
10-04-2018 05:45,8389.9,8399.5,8386.6,8399,1323
10-04-2018 06:45,8399,8400,8395.5,8400,8468
10-04-2018 07:45,8400,8400,8391.25,8396.95,2058
10-04-2018 08:45,8397,8549,8396.5,8500,34655
10-04-2018 09:45,8500,8500,8480,8499.1,6664
11-04-2018 03:45,8499,8499,8437.8,8454,3484
11-04-2018 04:45,8454,8499.95,8454,8477.4,4732
11-04-2018 05:45,8480,8480,8440,8449.1,4856
11-04-2018 06:45,8448.85,8498.95,8448.85,8497.3,3768
