Date,OpenHdfcbank,HighHdfcbank,LowHdfcbank,CloseHdfcbank,VolumeHdfcbank
03-04-2018 03:45,960.625,962.775,956.9,959.5,131603
03-04-2018 04:45,959.5,960.45,957.725,959.175,87725
03-04-2018 05:45,959.1,959.5,956.125,957.5,159999
03-04-2018 06:45,957.5,961.35,956.35,957.5,329748
03-04-2018 07:45,957.65,958.475,955.95,958.3,111939
03-04-2018 08:45,958.675,959.2,956.7,957.55,133719
03-04-2018 09:45,957.575,958.85,956.85,957.95,64338
04-04-2018 03:45,956.475,961,956.475,959,94212
04-04-2018 04:45,958.55,961.475,956.75,960.2,118051
04-04-2018 05:45,960.75,961.625,958.925,960.7,104052
04-04-2018 06:45,961,962.35,957.5,957.5,100968
04-04-2018 07:45,956.725,957.1,945,945.65,218013
04-04-2018 08:45,944.925,945,939.375,942.1,231576
04-04-2018 09:45,942.275,942.475,940.05,940.05,55251
05-04-2018 03:45,951.5,954,949.05,950.5,180105
05-04-2018 04:45,950.725,952.5,945.15,947.5,224964
05-04-2018 05:45,947.5,948.925,947.4,948,133503
05-04-2018 06:45,948,949.475,948,949.1,106693
05-04-2018 07:45,949.3,949.45,947.525,948.475,146091
05-04-2018 08:45,948.475,954.775,948,954.775,255971
05-04-2018 09:45,954.525,956.325,953.175,954.45,163778
06-04-2018 03:45,955,959,953.375,955.575,160810
06-04-2018 04:45,955.925,956.15,953,954.1,74946
06-04-2018 05:45,954.225,956.75,954,956.55,78422
06-04-2018 06:45,956.4,962.45,956.4,961.5,227302
06-04-2018 07:45,961.475,961.6,957.675,958,148400
06-04-2018 08:45,957.975,962.95,957.55,962.95,170147
06-04-2018 09:45,962.975,963.225,957.75,961.7,68171
09-04-2018 03:45,958.95,969.75,958.95,967.675,205227
09-04-2018 04:45,967.55,970.325,967.55,968.825,173484
09-04-2018 05:45,969.125,969.925,967.575,968.575,101249
09-04-2018 06:45,968.275,970,965.025,965.625,154284
09-04-2018 07:45,965.625,970,965.35,969.85,141374
09-04-2018 08:45,969.9,970.75,967.025,970,161149
09-04-2018 09:45,970.25,970.25,968,969.525,62268
10-04-2018 03:45,969.525,969.525,961,961.975,190021
